place_geoid,place_name,state_code,lsad_code,functional_status,land_area_sqm,water_area_sqm,latitude,longitude,source_vintage,source_url,active_listing_count,latest_listing_date
0412000,Chandler city,AZ,25,A,170169512,182489,33.282765,-111.851819,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-06-12
0651182,Newport Beach city,CA,25,A,61719506,5792265,33.626595,-117.865392,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-06-24
0665070,San Carlos city,CA,25,A,14017265,2037,37.499034,-122.267572,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-07-01
1253000,Orlando city,FL,25,A,335664599,21649307,28.472818,-81.320242,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-07-02
1919000,Davenport city,IA,25,A,166299901,5501429,41.55682,-90.603948,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-06-30
3260600,Reno city,NV,25,A,283081084,7331473,39.549097,-119.849907,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-06-30
3651000,New York city,NY,25,A,778246264,445342854,40.662712,-73.938677,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-05-01
4134100,Hillsboro city,OR,25,A,68486731,31207,45.526798,-122.935395,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-06-22
4159000,Portland city,OR,25,A,345723593,29835838,45.536951,-122.649971,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-07-02
4273808,State College borough,PA,21,A,11858006,0,40.791039,-77.856813,2025,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2025_Gazetteer/2025_Gaz_place_national.zip,5,2026-07-06
